"Instante lectura,""Irradiación global diaria""";
"2012-01-01 00:00:00.0,""69.0""";
"2012-01-02 00:00:00.0,""215.0""";
"2012-01-03 00:00:00.0,""127.0""";
"2012-01-04 00:00:00.0,""243.0""";
"2012-01-05 00:00:00.0,""552.0""";
"2012-01-06 00:00:00.0,""490.0""";
"2012-01-07 00:00:00.0,""745.0""";
"2012-01-08 00:00:00.0,""944.0""";
"2012-01-09 00:00:00.0,""951.0""";
"2012-01-10 00:00:00.0,""932.0""";
"2012-01-11 00:00:00.0,""943.0""";
"2012-01-12 00:00:00.0,""945.0""";
"2012-01-13 00:00:00.0,""754.0""";
"2012-01-14 00:00:00.0,""590.0""";
"2012-01-15 00:00:00.0,""276.0""";
"2012-01-16 00:00:00.0,""427.0""";
"2012-01-17 00:00:00.0,""764.0""";
"2012-01-18 00:00:00.0,""406.0""";
"2012-01-19 00:00:00.0,""774.0""";
"2012-01-20 00:00:00.0,""885.0""";
"2012-01-21 00:00:00.0,""892.0""";
"2012-01-22 00:00:00.0,""1023.0""";
"2012-01-23 00:00:00.0,""592.0""";
"2012-01-24 00:00:00.0,""1059.0""";
"2012-01-25 00:00:00.0,""1062.0""";
"2012-01-26 00:00:00.0,""271.0""";
"2012-01-27 00:00:00.0,""804.0""";
"2012-01-28 00:00:00.0,""1070.0""";
"2012-01-29 00:00:00.0,""1095.0""";
"2012-01-30 00:00:00.0,""993.0""";
"2012-01-31 00:00:00.0,""425.0""";
"2012-02-01 00:00:00.0,""360.0""";
"2012-02-02 00:00:00.0,""815.0""";
"2012-02-03 00:00:00.0,""1222.0""";
"2012-02-04 00:00:00.0,""1181.0""";
"2012-02-05 00:00:00.0,""146.0""";
"2012-02-06 00:00:00.0,""175.0""";
"2012-02-07 00:00:00.0,""293.0""";
"2012-02-08 00:00:00.0,""918.0""";
"2012-02-09 00:00:00.0,""1159.0""";
"2012-02-10 00:00:00.0,""1328.0""";
"2012-02-11 00:00:00.0,""1268.0""";
"2012-02-12 00:00:00.0,""1328.0""";
"2012-02-13 00:00:00.0,""914.0""";
"2012-02-14 00:00:00.0,""494.0""";
"2012-02-15 00:00:00.0,""998.0""";
"2012-02-16 00:00:00.0,""1373.0""";
"2012-02-17 00:00:00.0,""1453.0""";
"2012-02-18 00:00:00.0,""1392.0""";
"2012-02-19 00:00:00.0,""1079.0""";
"2012-02-20 00:00:00.0,""1469.0""";
"2012-02-21 00:00:00.0,""1463.0""";
"2012-02-22 00:00:00.0,""1478.0""";
"2012-02-23 00:00:00.0,""1529.0""";
"2012-02-24 00:00:00.0,""1468.0""";
"2012-02-25 00:00:00.0,""1242.0""";
"2012-02-26 00:00:00.0,""1292.0""";
"2012-02-27 00:00:00.0,""1608.0""";
"2012-02-28 00:00:00.0,""1567.0""";
"2012-02-29 00:00:00.0,""1557.0""";
"2012-03-01 00:00:00.0,""913.0""";
"2012-03-02 00:00:00.0,""1432.0""";
"2012-03-03 00:00:00.0,""338.0""";
