"Instante lectura,""Presión"""
"2012-01-01 00:00:00.0,""909.3"""
"2012-01-02 00:00:00.0,""913.5"""
"2012-01-03 00:00:00.0,""916.8"""
"2012-01-04 00:00:00.0,""920.5"""
"2012-01-05 00:00:00.0,""919.8"""
"2012-01-06 00:00:00.0,""917.8"""
"2012-01-07 00:00:00.0,""916.3"""
"2012-01-08 00:00:00.0,""914.1"""
"2012-01-09 00:00:00.0,""913.5"""
"2012-01-10 00:00:00.0,""913.8"""
"2012-01-11 00:00:00.0,""914.2"""
"2012-01-12 00:00:00.0,""913.8"""
"2012-01-13 00:00:00.0,""911.3"""
"2012-01-14 00:00:00.0,""906.0"""
"2012-01-15 00:00:00.0,""901.3"""
"2012-01-16 00:00:00.0,""903.4"""
"2012-01-17 00:00:00.0,""913.2"""
"2012-01-18 00:00:00.0,""919.1"""
"2012-01-19 00:00:00.0,""921.7"""
"2012-01-20 00:00:00.0,""920.5"""
"2012-01-21 00:00:00.0,""917.0"""
"2012-01-22 00:00:00.0,""911.2"""
"2012-01-23 00:00:00.0,""908.4"""
"2012-01-24 00:00:00.0,""909.5"""
"2012-01-25 00:00:00.0,""905.5"""
"2012-01-26 00:00:00.0,""905.2"""
"2012-01-27 00:00:00.0,""909.1"""
"2012-01-28 00:00:00.0,""912.6"""
"2012-01-29 00:00:00.0,""911.1"""
"2012-01-30 00:00:00.0,""909.6"""
"2012-01-31 00:00:00.0,""907.4"""
"2012-02-01 00:00:00.0,""903.0"""
"2012-02-02 00:00:00.0,""905.3"""
"2012-02-03 00:00:00.0,""913.6"""
"2012-02-04 00:00:00.0,""919.8"""
"2012-02-05 00:00:00.0,""918.8"""
"2012-02-06 00:00:00.0,""918.8"""
"2012-02-07 00:00:00.0,""914.6"""
"2012-02-08 00:00:00.0,""913.0"""
"2012-02-09 00:00:00.0,""913.8"""
"2012-02-10 00:00:00.0,""910.3"""
"2012-02-11 00:00:00.0,""908.1"""
"2012-02-12 00:00:00.0,""911.3"""
"2012-02-13 00:00:00.0,""914.8"""
"2012-02-14 00:00:00.0,""911.4"""
"2012-02-15 00:00:00.0,""914.6"""
"2012-02-16 00:00:00.0,""911.6"""
"2012-02-17 00:00:00.0,""909.1"""
"2012-02-18 00:00:00.0,""908.1"""
"2012-02-19 00:00:00.0,""910.6"""
"2012-02-20 00:00:00.0,""912.5"""
"2012-02-21 00:00:00.0,""912.8"""
"2012-02-22 00:00:00.0,""914.0"""
"2012-02-23 00:00:00.0,""914.8"""
"2012-02-24 00:00:00.0,""913.3"""
"2012-02-25 00:00:00.0,""911.0"""
"2012-02-26 00:00:00.0,""910.8"""
"2012-02-27 00:00:00.0,""909.4"""
"2012-02-28 00:00:00.0,""907.4"""
"2012-02-29 00:00:00.0,""908.4"""
"2012-03-01 00:00:00.0,""907.9"""
"2012-03-02 00:00:00.0,""909.7"""
"2012-03-03 00:00:00.0,""912.0"""
"2012-03-04 00:00:00.0,""912.5"""
"2012-03-05 00:00:00.0,""914.2"""
"2012-03-06 00:00:00.0,""912.8"""
"2012-03-07 00:00:00.0,""914.6"""
"2012-03-08 00:00:00.0,""916.8"""
"2012-03-09 00:00:00.0,""916.9"""
"2012-03-10 00:00:00.0,""917.3"""
"2012-03-11 00:00:00.0,""913.0"""
"2012-03-12 00:00:00.0,""911.3"""
"2012-03-13 00:00:00.0,""911.0"""
"2012-03-14 00:00:00.0,""911.5"""
"2012-03-15 00:00:00.0,""911.3"""
"2012-03-16 00:00:00.0,""909.2"""
"2012-03-17 00:00:00.0,""906.8"""
"2012-03-18 00:00:00.0,""911.1"""
"2012-03-19 00:00:00.0,""916.4"""
"2012-03-20 00:00:00.0,""914.3"""
"2012-03-21 00:00:00.0,""907.8"""
"2012-03-22 00:00:00.0,""906.9"""
"2012-03-23 00:00:00.0,""904.3"""
"2012-03-24 00:00:00.0,""906.5"""
"2012-03-25 00:00:00.0,""909.5"""
"2012-03-26 00:00:00.0,""908.3"""
"2012-03-27 00:00:00.0,""910.2"""
"2012-03-28 00:00:00.0,""910.3"""
"2012-03-29 00:00:00.0,""907.3"""
"2012-03-30 00:00:00.0,""904.5"""
"2012-03-31 00:00:00.0,""899.5"""
"2012-04-01 00:00:00.0,""896.7"""
"2012-04-02 00:00:00.0,""895.1"""
"2012-04-03 00:00:00.0,""895.0"""
"2012-04-04 00:00:00.0,""895.7"""
"2012-04-05 00:00:00.0,""894.0"""
"2012-04-06 00:00:00.0,""894.1"""
"2012-04-07 00:00:00.0,""900.8"""
"2012-04-08 00:00:00.0,""904.9"""
"2012-04-09 00:00:00.0,""898.7"""
"2012-04-10 00:00:00.0,""894.1"""
"2012-04-11 00:00:00.0,""895.6"""
"2012-04-12 00:00:00.0,""896.2"""
"2012-04-13 00:00:00.0,""897.4"""
"2012-04-14 00:00:00.0,""895.5"""
"2012-04-15 00:00:00.0,""904.1"""
"2012-04-16 00:00:00.0,""910.6"""
"2012-04-17 00:00:00.0,""905.7"""
"2012-04-18 00:00:00.0,""895.2"""
"2012-04-19 00:00:00.0,""893.1"""
"2012-04-20 00:00:00.0,""897.5"""
"2012-04-21 00:00:00.0,""901.1"""
"2012-04-22 00:00:00.0,""904.1"""
"2012-04-23 00:00:00.0,""901.3"""
"2012-04-24 00:00:00.0,""900.0"""
"2012-04-25 00:00:00.0,""887.0"""
"2012-04-26 00:00:00.0,""893.1"""
"2012-04-27 00:00:00.0,""897.2"""
"2012-04-28 00:00:00.0,""894.3"""
"2012-04-29 00:00:00.0,""896.4"""
"2012-04-30 00:00:00.0,""898.5"""
"2012-05-01 00:00:00.0,""896.7"""
"2012-05-02 00:00:00.0,""897.2"""
"2012-05-03 00:00:00.0,""895.0"""
"2012-05-04 00:00:00.0,""892.3"""
"2012-05-05 00:00:00.0,""896.2"""
"2012-05-06 00:00:00.0,""901.9"""
"2012-05-07 00:00:00.0,""900.8"""
"2012-05-08 00:00:00.0,""901.4"""
"2012-05-09 00:00:00.0,""903.3"""
"2012-05-10 00:00:00.0,""906.2"""
"2012-05-11 00:00:00.0,""910.0"""
"2012-05-12 00:00:00.0,""912.6"""
"2012-05-13 00:00:00.0,""909.8"""
"2012-05-14 00:00:00.0,""907.1"""
"2012-05-15 00:00:00.0,""907.7"""
"2012-05-16 00:00:00.0,""904.4"""
"2012-05-17 00:00:00.0,""899.4"""
"2012-05-18 00:00:00.0,""897.6"""
"2012-05-19 00:00:00.0,""896.3"""
"2012-05-20 00:00:00.0,""898.9"""
"2012-05-21 00:00:00.0,""906.2"""
"2012-05-22 00:00:00.0,""909.2"""
