"Instante lectura","Humidade relativa media a 1.5m"
"2014-01-01 00:00:00.0","86.0"
"2014-01-02 00:00:00.0","88.0"
"2014-01-03 00:00:00.0","80.0"
"2014-01-04 00:00:00.0","78.0"
"2014-01-05 00:00:00.0","84.0"
"2014-01-06 00:00:00.0","83.0"
"2014-01-07 00:00:00.0","80.0"
"2014-01-08 00:00:00.0","84.0"
"2014-01-09 00:00:00.0","95.0"
"2014-01-10 00:00:00.0","93.0"
"2014-01-11 00:00:00.0","92.0"
"2014-01-12 00:00:00.0","88.0"
"2014-01-13 00:00:00.0","90.0"
"2014-01-14 00:00:00.0","95.0"
"2014-01-15 00:00:00.0","89.0"
"2014-01-16 00:00:00.0","86.0"
"2014-01-17 00:00:00.0","78.0"
"2014-01-18 00:00:00.0","91.0"
"2014-01-19 00:00:00.0","90.0"
"2014-01-20 00:00:00.0","92.0"
"2014-01-21 00:00:00.0","92.0"
"2014-01-22 00:00:00.0","90.0"
"2014-01-23 00:00:00.0","92.0"
"2014-01-24 00:00:00.0","95.0"
"2014-01-25 00:00:00.0","97.0"
"2014-01-26 00:00:00.0","94.0"
"2014-01-27 00:00:00.0","89.0"
"2014-01-28 00:00:00.0","88.0"
"2014-01-29 00:00:00.0","90.0"
"2014-01-30 00:00:00.0","96.0"
"2014-01-31 00:00:00.0","93.0"
"2014-02-01 00:00:00.0","84.0"
"2014-02-02 00:00:00.0","84.0"
"2014-02-03 00:00:00.0","85.0"
"2014-02-04 00:00:00.0","83.0"
"2014-02-05 00:00:00.0","79.0"
"2014-02-06 00:00:00.0","85.0"
"2014-02-07 00:00:00.0","83.0"
"2014-02-08 00:00:00.0","83.0"
"2014-02-09 00:00:00.0","85.0"
"2014-02-10 00:00:00.0","82.0"
"2014-02-11 00:00:00.0","81.0"
"2014-02-12 00:00:00.0","86.0"
"2014-02-13 00:00:00.0","82.0"
"2014-02-14 00:00:00.0","81.0"
"2014-02-15 00:00:00.0","90.0"
"2014-02-16 00:00:00.0","85.0"
"2014-02-17 00:00:00.0","82.0"
"2014-02-18 00:00:00.0","92.0"
"2014-02-19 00:00:00.0","91.0"
"2014-02-20 00:00:00.0","84.0"
"2014-02-21 00:00:00.0","87.0"
"2014-02-22 00:00:00.0","81.0"
"2014-02-23 00:00:00.0","65.0"
"2014-02-24 00:00:00.0","79.0"
"2014-02-25 00:00:00.0","85.0"
"2014-02-26 00:00:00.0","83.0"
"2014-02-27 00:00:00.0","81.0"
"2014-02-28 00:00:00.0","84.0"
"2014-03-01 00:00:00.0","95.0"
"2014-03-02 00:00:00.0","92.0"
"2014-03-03 00:00:00.0","87.0"
"2014-03-04 00:00:00.0","93.0"
"2014-03-05 00:00:00.0","84.0"
"2014-03-06 00:00:00.0","80.0"
"2014-03-07 00:00:00.0","81.0"
"2014-03-08 00:00:00.0","76.0"
"2014-03-09 00:00:00.0","62.0"
"2014-03-10 00:00:00.0","61.0"
"2014-03-11 00:00:00.0","60.0"
"2014-03-12 00:00:00.0","67.0"
"2014-03-13 00:00:00.0","71.0"
"2014-03-14 00:00:00.0","87.0"
"2014-03-15 00:00:00.0","73.0"
"2014-03-16 00:00:00.0","67.0"
"2014-03-17 00:00:00.0","80.0"
"2014-03-18 00:00:00.0","77.0"
"2014-03-19 00:00:00.0","68.0"
"2014-03-20 00:00:00.0","84.0"
"2014-03-21 00:00:00.0","86.0"
"2014-03-22 00:00:00.0","80.0"
"2014-03-23 00:00:00.0","78.0"
"2014-03-24 00:00:00.0","78.0"
"2014-03-25 00:00:00.0","83.0"
"2014-03-26 00:00:00.0","83.0"
"2014-03-27 00:00:00.0","84.0"
"2014-03-28 00:00:00.0","80.0"
"2014-03-29 00:00:00.0","82.0"
"2014-03-30 00:00:00.0","80.0"
"2014-03-31 00:00:00.0","79.0"
"2014-04-01 00:00:00.0","87.0"
"2014-04-02 00:00:00.0","77.0"
"2014-04-03 00:00:00.0","87.0"
"2014-04-04 00:00:00.0","87.0"
"2014-04-05 00:00:00.0","92.0"
"2014-04-06 00:00:00.0","80.0"
"2014-04-07 00:00:00.0","86.0"
"2014-04-08 00:00:00.0","79.0"
"2014-04-09 00:00:00.0","68.0"
"2014-04-10 00:00:00.0","74.0"
"2014-04-11 00:00:00.0","77.0"
"2014-04-12 00:00:00.0","74.0"
"2014-04-13 00:00:00.0","69.0"
"2014-04-14 00:00:00.0","73.0"
"2014-04-15 00:00:00.0","76.0"
"2014-04-16 00:00:00.0","76.0"
"2014-04-17 00:00:00.0","75.0"
"2014-04-18 00:00:00.0","91.0"
"2014-04-19 00:00:00.0","84.0"
"2014-04-20 00:00:00.0","85.0"
"2014-04-21 00:00:00.0","89.0"
"2014-04-22 00:00:00.0","77.0"
"2014-04-23 00:00:00.0","76.0"
"2014-04-24 00:00:00.0","88.0"
"2014-04-25 00:00:00.0","88.9"
"2014-04-26 00:00:00.0","77.9"
"2014-04-27 00:00:00.0","80.6"
"2014-04-28 00:00:00.0","82.7"
"2014-04-29 00:00:00.0","86.2"
"2014-04-30 00:00:00.0","91.0"
"2014-05-01 00:00:00.0","79.5"
"2014-05-02 00:00:00.0","73.5"
"2014-05-03 00:00:00.0","65.5"
"2014-05-04 00:00:00.0","65.2"
"2014-05-05 00:00:00.0","79.9"
"2014-05-06 00:00:00.0","87.7"
"2014-05-07 00:00:00.0","80.3"
"2014-05-08 00:00:00.0","79.8"
"2014-05-09 00:00:00.0","80.4"
"2014-05-10 00:00:00.0","85.6"
"2014-05-11 00:00:00.0","72.9"
"2014-05-12 00:00:00.0","75.5"
"2014-05-13 00:00:00.0","68.6"
"2014-05-14 00:00:00.0","57.8"
"2014-05-15 00:00:00.0","58.1"
"2014-05-16 00:00:00.0","57.1"
"2014-05-17 00:00:00.0","50.1"
"2014-05-18 00:00:00.0","70.3"
"2014-05-19 00:00:00.0","75.6"
"2014-05-20 00:00:00.0","78.2"
"2014-05-21 00:00:00.0","85.6"
"2014-05-22 00:00:00.0","86.2"
"2014-05-23 00:00:00.0","79.6"
"2014-05-24 00:00:00.0","78.6"
"2014-05-25 00:00:00.0","87.4"
"2014-05-26 00:00:00.0","82.1"
"2014-05-27 00:00:00.0","87.6"
"2014-05-28 00:00:00.0","85.0"
"2014-05-29 00:00:00.0","95.0"
"2014-05-30 00:00:00.0","83.0"
"2014-05-31 00:00:00.0","76.0"
"2014-06-01 00:00:00.0","76.0"
"2014-06-02 00:00:00.0","75.0"
"2014-06-03 00:00:00.0","78.0"
"2014-06-04 00:00:00.0","74.0"
"2014-06-05 00:00:00.0","83.0"
"2014-06-06 00:00:00.0","77.0"
"2014-06-07 00:00:00.0","72.0"
"2014-06-08 00:00:00.0","80.0"
"2014-06-09 00:00:00.0","80.0"
"2014-06-10 00:00:00.0","74.0"
"2014-06-11 00:00:00.0","70.0"
"2014-06-12 00:00:00.0","65.0"
"2014-06-13 00:00:00.0","72.0"
"2014-06-14 00:00:00.0","68.0"
"2014-06-15 00:00:00.0","56.0"
"2014-06-16 00:00:00.0","63.8"
"2014-06-17 00:00:00.0","58.0"
"2014-06-18 00:00:00.0","72.0"
"2014-06-19 00:00:00.0","80.0"
"2014-06-20 00:00:00.0","82.0"
"2014-06-21 00:00:00.0","85.0"
"2014-06-22 00:00:00.0","81.0"
"2014-06-23 00:00:00.0","86.0"
"2014-06-24 00:00:00.0","89.0"
"2014-06-25 00:00:00.0","83.0"
"2014-06-26 00:00:00.0","80.0"
"2014-06-27 00:00:00.0","77.0"
"2014-06-28 00:00:00.0","78.0"
"2014-06-29 00:00:00.0","80.0"
"2014-06-30 00:00:00.0","80.0"
"2014-07-01 00:00:00.0","89.0"
"2014-07-02 00:00:00.0","77.0"
"2014-07-03 00:00:00.0","78.0"
"2014-07-04 00:00:00.0","82.0"
"2014-07-05 00:00:00.0","88.0"
"2014-07-06 00:00:00.0","77.0"
"2014-07-07 00:00:00.0","77.0"
"2014-07-08 00:00:00.0","82.0"
"2014-07-09 00:00:00.0","70.0"
"2014-07-10 00:00:00.0","61.0"
"2014-07-11 00:00:00.0","70.0"
"2014-07-12 00:00:00.0","76.0"
"2014-07-13 00:00:00.0","78.0"
"2014-07-14 00:00:00.0","75.0"
"2014-07-15 00:00:00.0","75.0"
"2014-07-16 00:00:00.0","76.0"
"2014-07-17 00:00:00.0","84.0"
"2014-07-18 00:00:00.0","88.0"
"2014-07-19 00:00:00.0","88.0"
"2014-07-20 00:00:00.0","82.0"
"2014-07-21 00:00:00.0","78.0"
"2014-07-22 00:00:00.0","70.0"
"2014-07-23 00:00:00.0","79.0"
"2014-07-24 00:00:00.0","82.0"
"2014-07-25 00:00:00.0","79.0"
"2014-07-26 00:00:00.0","77.0"
"2014-07-27 00:00:00.0","72.0"
"2014-07-28 00:00:00.0","76.0"
"2014-07-29 00:00:00.0","69.0"
"2014-07-30 00:00:00.0","69.0"
"2014-07-31 00:00:00.0","75.0"
"2014-08-01 00:00:00.0","80.0"
"2014-08-02 00:00:00.0","86.0"
"2014-08-03 00:00:00.0","81.0"
"2014-08-04 00:00:00.0","77.0"
"2014-08-05 00:00:00.0","80.0"
"2014-08-06 00:00:00.0","81.0"
"2014-08-07 00:00:00.0","84.0"
"2014-08-08 00:00:00.0","93.0"
"2014-08-09 00:00:00.0","86.0"
"2014-08-10 00:00:00.0","91.0"
"2014-08-11 00:00:00.0","78.0"
"2014-08-12 00:00:00.0","87.0"
"2014-08-13 00:00:00.0","78.0"
"2014-08-14 00:00:00.0","77.0"
"2014-08-15 00:00:00.0","77.0"
"2014-08-16 00:00:00.0","71.0"
"2014-08-17 00:00:00.0","69.0"
"2014-08-18 00:00:00.0","75.0"
"2014-08-19 00:00:00.0","76.0"
"2014-08-20 00:00:00.0","73.0"
"2014-08-21 00:00:00.0","74.0"
